"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 25 09:55:58 UTC 2026","Wed Feb 25 09:55:59 UTC 2026","263","tests.api","test_posts","TestPosts","","","Negative - Update post",""
"passed","Wed Feb 25 09:55:59 UTC 2026","Wed Feb 25 09:55:59 UTC 2026","59","tests.api","test_users","TestUsers","","","Get all users",""
"passed","Wed Feb 25 09:55:56 UTC 2026","Wed Feb 25 09:55:56 UTC 2026","58","tests.api","test_comments","TestComments","","","Get comments by post ID: 1",""
"passed","Wed Feb 25 09:55:58 UTC 2026","Wed Feb 25 09:55:58 UTC 2026","126","tests.api","test_posts","TestPosts","","","Create new post",""
"passed","Wed Feb 25 09:56:00 UTC 2026","Wed Feb 25 09:56:00 UTC 2026","267","tests.api","test_users","TestUsers","","","Positive - Update user",""
"passed","Wed Feb 25 09:55:57 UTC 2026","Wed Feb 25 09:55:57 UTC 2026","61","tests.api","test_posts","TestPosts","","","Get all posts",""
"passed","Wed Feb 25 09:55:56 UTC 2026","Wed Feb 25 09:55:56 UTC 2026","263","tests.api","test_comments","TestComments","","","Get comments by post ID: 50",""
"passed","Wed Feb 25 09:55:59 UTC 2026","Wed Feb 25 09:55:59 UTC 2026","62","tests.api","test_users","TestUsers","","","Positive - Get user by ID: 5",""
"passed","Wed Feb 25 09:55:56 UTC 2026","Wed Feb 25 09:55:57 UTC 2026","265","tests.api","test_comments","TestComments","","","Get comments by post ID: 100",""
"passed","Wed Feb 25 09:56:00 UTC 2026","Wed Feb 25 09:56:00 UTC 2026","141","tests.api","test_users","TestUsers","","","Delete user",""
"passed","Wed Feb 25 09:55:57 UTC 2026","Wed Feb 25 09:55:58 UTC 2026","57","tests.api","test_posts","TestPosts","","","Get post by ID: 1",""
"passed","Wed Feb 25 09:55:57 UTC 2026","Wed Feb 25 09:55:57 UTC 2026","272","tests.api","test_comments","TestComments","","","Positive - Update comment",""
"passed","Wed Feb 25 09:55:59 UTC 2026","Wed Feb 25 09:55:59 UTC 2026","58","tests.api","test_users","TestUsers","","","Positive - Get user by ID: 1",""
"passed","Wed Feb 25 09:55:58 UTC 2026","Wed Feb 25 09:55:58 UTC 2026","266","tests.api","test_posts","TestPosts","","","Positive - Update post",""
"passed","Wed Feb 25 09:55:58 UTC 2026","Wed Feb 25 09:55:58 UTC 2026","60","tests.api","test_posts","TestPosts","","","Get post by ID: 100",""
"passed","Wed Feb 25 09:55:58 UTC 2026","Wed Feb 25 09:55:58 UTC 2026","267","tests.api","test_posts","TestPosts","","","Get post by ID: 50",""
"passed","Wed Feb 25 09:56:00 UTC 2026","Wed Feb 25 09:56:00 UTC 2026","263","tests.api","test_users","TestUsers","","","Negative - Update user",""
"passed","Wed Feb 25 09:55:57 UTC 2026","Wed Feb 25 09:55:57 UTC 2026","260","tests.api","test_comments","TestComments","","","Create new comment",""
"passed","Wed Feb 25 09:55:57 UTC 2026","Wed Feb 25 09:55:57 UTC 2026","131","tests.api","test_comments","TestComments","","","Negative - Update comment",""
"passed","Wed Feb 25 09:55:59 UTC 2026","Wed Feb 25 09:55:59 UTC 2026","58","tests.api","test_users","TestUsers","","","Positive - Get user by ID: 10",""
"passed","Wed Feb 25 09:55:59 UTC 2026","Wed Feb 25 09:55:59 UTC 2026","125","tests.api","test_posts","TestPosts","","","Delete Post",""
"passed","Wed Feb 25 09:55:57 UTC 2026","Wed Feb 25 09:55:57 UTC 2026","124","tests.api","test_comments","TestComments","","","Delete comment",""
"passed","Wed Feb 25 09:55:58 UTC 2026","Wed Feb 25 09:55:58 UTC 2026","57","tests.api","test_posts","TestPosts","","","Get post by invalid ID: 101",""
"passed","Wed Feb 25 09:55:59 UTC 2026","Wed Feb 25 09:55:59 UTC 2026","60","tests.api","test_users","TestUsers","","","Negative - Get user by invalid ID: 11",""
"passed","Wed Feb 25 09:55:59 UTC 2026","Wed Feb 25 09:55:59 UTC 2026","261","tests.api","test_users","TestUsers","","","Negative - Get user by invalid ID: 100",""
"passed","Wed Feb 25 09:55:55 UTC 2026","Wed Feb 25 09:55:55 UTC 2026","112","tests.api","test_comments","TestComments","","","Get all comments",""
"passed","Wed Feb 25 09:55:58 UTC 2026","Wed Feb 25 09:55:58 UTC 2026","65","tests.api","test_posts","TestPosts","","","Get post by invalid ID: 999",""
"passed","Wed Feb 25 09:55:55 UTC 2026","Wed Feb 25 09:55:55 UTC 2026","272","tests.api","test_comments","TestComments","","","Get comment by ID: 100",""
"passed","Wed Feb 25 09:55:56 UTC 2026","Wed Feb 25 09:55:56 UTC 2026","274","tests.api","test_comments","TestComments","","","Get comment by invalid ID: 999",""
"passed","Wed Feb 25 09:55:55 UTC 2026","Wed Feb 25 09:55:56 UTC 2026","271","tests.api","test_comments","TestComments","","","Get comment by invalid ID: 501",""
"passed","Wed Feb 25 09:55:59 UTC 2026","Wed Feb 25 09:56:00 UTC 2026","129","tests.api","test_users","TestUsers","","","Create new user",""
"passed","Wed Feb 25 09:55:55 UTC 2026","Wed Feb 25 09:55:55 UTC 2026","267","tests.api","test_comments","TestComments","","","Get comment by ID: 500",""
"passed","Wed Feb 25 09:55:55 UTC 2026","Wed Feb 25 09:55:55 UTC 2026","59","tests.api","test_comments","TestComments","","","Get comment by ID: 1",""
